Health_District,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Number_of_PCR_Testing_Encounters,Number_of_Positive_PCR_Testing_Encounters,Total_Number_of_Testing_Encounters,Total_Number_of_Positive_Testing_Encounters,Percentage
Norfolk,0.01,0.038,0.035,0.145,0.772,323.7428571,28.21904762,334.4666667,28.86666667,0.087165005
Virginia Beach,0.017,0.041,0.062,0.202,0.678,522.9714286,34.45714286,551.3952381,36.5047619,0.065887238
Chesapeake,0.018,0.15,0.068,0.125,0.639,292.5406699,26.59808612,305.6220096,27.42583732,0.090920986
Portsmouth,0.004,0.014,0.073,0.219,0.69,138.625,15.98557692,141.1009615,16.22596154,0.115315253
Hampton,0.071,0.086,0.049,0.243,0.551,126.131068,9.888349515,130.5,10.19902913,0.078397414
Western Tidewater,0.007,0.048,0.171,0.208,0.565,227.0970874,22.61165049,233.4514563,23.16504854,0.09956821
Peninsula,0.063,0.085,0.132,0.154,0.566,372.6809524,24.75714286,396.2047619,26.4047619,0.066429858
Fairfax,0.031,0.129,0.129,0.182,0.528,1191.738318,114.728972,1363.093458,129.271028,0.096270272
Arlington,0.013,0.069,0.116,0.13,0.672,288.3649289,21.14218009,328.9052133,24.18009479,0.073317446
Prince William,0.012,0.092,0.074,0.162,0.66,607.8767773,77.39336493,660.4312796,84.72511848,0.127317522
Richmond,0.047,0.027,0.055,0.11,0.761,302.0981308,23.78504673,319.3971963,25.19626168,0.07873285
Henrico,0.014,0.002,0.145,0.158,0.681,506.5235849,38.03773585,540.495283,40.46226415,0.075095686
Chesterfield,0.064,0.073,0.084,0.285,0.496,449.7047619,39.39047619,489.0857143,42.43333333,0.087591859
Roanoke,0.083,0.055,0.166,0.173,0.523,377.8647343,21.18357488,390.7101449,21.89371981,0.056061265
Central Shenandoah,0.034,0.062,0.139,0.212,0.553,298.6586538,22.00480769,313.3125,23.24519231,0.073678788
