STATES,RBIRTH2019,RDEATH2019,RNETMIG2019
Northeast Region,10.76038747,9.025985968,-2.859713024
Midwest Region,11.60384188,9.121680043,-1.111172685
South Region,11.84285193,8.971661274,5.203720245
West Region,11.72202282,7.484417803,2.312083317
Alabama,11.70744243,11.0059723,2.483743522
Alaska,13.67847471,6.571285976,-12.03122145
Arizona,11.35186951,8.384579318,13.68716111
Arkansas,12.15753632,10.39296814,0.923428591
California,11.71570662,7.154776917,-3.276681177
Colorado,11.27054505,6.832475358,7.311426361
Connecticut,9.686965053,8.729113734,-2.728391002
Delaware,11.01770124,9.75019634,7.254377095
District of Columbia,13.49112056,8.067954432,0.569887216
Florida,10.3784804,9.91019767,10.4202855
Georgia,12.10428314,8.170838383,6.127537171
Hawaii,11.90072855,8.98865313,-6.207021768
Idaho,12.5621855,7.523742785,15.56252387
Illinois,11.36441139,8.663474529,-6.755453026
Indiana,12.02155303,9.260696309,2.737025418
Iowa,11.9523682,9.140363546,-0.744960728
Kansas,12.17476071,8.66314727,-2.833807151
Kentucky,11.97716251,10.32028175,-0.173819044
Louisiana,12.56874911,9.957153066,-4.942802716
Maine,8.998725063,10.68472822,5.564108556
Maryland,11.60304671,8.517663644,-1.432605702
Massachusetts,10.2240718,8.502854926,-0.268309472
Michigan,10.96313547,9.612271918,-1.053931943
Minnesota,12.0296489,7.682812934,1.632242063
Mississippi,12.07889184,10.58757944,-3.125981486
Missouri,11.63173234,9.811689339,0.781952861
Montana,10.91177364,9.270029768,5.960244064
Nebraska,13.13101324,8.073529115,-0.47927188
Nevada,11.76652236,8.386414271,13.83119795
New Hampshire,8.848670341,8.937864702,4.729512571
New Jersey,11.19988699,8.523422302,-3.113649852
New Mexico,11.03931907,8.777989149,-0.281651816
New York,11.43671779,8.455641907,-6.920598425
North Carolina,11.4235476,9.038175395,7.812474919
North Dakota,13.86186291,8.222916017,-0.415750634
Ohio,11.49483975,10.07898802,-0.287861034
Oklahoma,12.34841791,10.19753062,2.103528767
Oregon,10.31117706,8.705866918,6.932692098
Pennsylvania,10.5605179,10.42373658,-0.004374503
Rhode Island,9.898717823,9.25744033,0.406110931
South Carolina,11.01411432,9.917843186,11.48416818
South Dakota,13.50945951,8.321627441,1.567464785
Tennessee,11.79915454,9.996025971,6.661664512
Texas,13.14245473,7.038181142,6.618845958
Utah,15.2974098,5.485644487,6.656804269
Vermont,8.941424139,9.026336427,-0.479033474
Virginia,11.55181385,8.185689746,0.673013514
Washington,11.61917996,7.739998819,8.135275527
West Virginia,9.947620396,12.54963939,-4.127417183
Wisconsin,10.95664257,8.666155338,0.327261596
Wyoming,11.4168598,8.597668546,-0.819813899
Puerto Rico,6.709829017,9.024826493,2.421462936
