Distribution,R2019
10.76038747,RBIRTH2019
11.60384188,RBIRTH2019
11.84285193,RBIRTH2019
11.72202282,RBIRTH2019
11.70744243,RBIRTH2019
13.67847471,RBIRTH2019
11.35186951,RBIRTH2019
12.15753632,RBIRTH2019
11.71570662,RBIRTH2019
11.27054505,RBIRTH2019
9.686965053,RBIRTH2019
11.01770124,RBIRTH2019
13.49112056,RBIRTH2019
10.3784804,RBIRTH2019
12.10428314,RBIRTH2019
11.90072855,RBIRTH2019
12.5621855,RBIRTH2019
11.36441139,RBIRTH2019
12.02155303,RBIRTH2019
11.9523682,RBIRTH2019
12.17476071,RBIRTH2019
11.97716251,RBIRTH2019
12.56874911,RBIRTH2019
8.998725063,RBIRTH2019
11.60304671,RBIRTH2019
10.2240718,RBIRTH2019
10.96313547,RBIRTH2019
12.0296489,RBIRTH2019
12.07889184,RBIRTH2019
11.63173234,RBIRTH2019
10.91177364,RBIRTH2019
13.13101324,RBIRTH2019
11.76652236,RBIRTH2019
8.848670341,RBIRTH2019
11.19988699,RBIRTH2019
11.03931907,RBIRTH2019
11.43671779,RBIRTH2019
11.4235476,RBIRTH2019
13.86186291,RBIRTH2019
11.49483975,RBIRTH2019
12.34841791,RBIRTH2019
10.31117706,RBIRTH2019
10.5605179,RBIRTH2019
9.898717823,RBIRTH2019
11.01411432,RBIRTH2019
13.50945951,RBIRTH2019
11.79915454,RBIRTH2019
13.14245473,RBIRTH2019
15.2974098,RBIRTH2019
8.941424139,RBIRTH2019
11.55181385,RBIRTH2019
11.61917996,RBIRTH2019
9.947620396,RBIRTH2019
10.95664257,RBIRTH2019
11.4168598,RBIRTH2019
6.709829017,RBIRTH2019
9.025985968,RDEATH2019
9.121680043,RDEATH2019
8.971661274,RDEATH2019
7.484417803,RDEATH2019
11.0059723,RDEATH2019
6.571285976,RDEATH2019
8.384579318,RDEATH2019
10.39296814,RDEATH2019
7.154776917,RDEATH2019
6.832475358,RDEATH2019
8.729113734,RDEATH2019
9.75019634,RDEATH2019
8.067954432,RDEATH2019
9.91019767,RDEATH2019
8.170838383,RDEATH2019
8.98865313,RDEATH2019
7.523742785,RDEATH2019
8.663474529,RDEATH2019
9.260696309,RDEATH2019
9.140363546,RDEATH2019
8.66314727,RDEATH2019
10.32028175,RDEATH2019
9.957153066,RDEATH2019
10.68472822,RDEATH2019
8.517663644,RDEATH2019
8.502854926,RDEATH2019
9.612271918,RDEATH2019
7.682812934,RDEATH2019
10.58757944,RDEATH2019
9.811689339,RDEATH2019
9.270029768,RDEATH2019
8.073529115,RDEATH2019
8.386414271,RDEATH2019
8.937864702,RDEATH2019
8.523422302,RDEATH2019
8.777989149,RDEATH2019
8.455641907,RDEATH2019
9.038175395,RDEATH2019
8.222916017,RDEATH2019
10.07898802,RDEATH2019
10.19753062,RDEATH2019
8.705866918,RDEATH2019
10.42373658,RDEATH2019
9.25744033,RDEATH2019
9.917843186,RDEATH2019
8.321627441,RDEATH2019
9.996025971,RDEATH2019
7.038181142,RDEATH2019
5.485644487,RDEATH2019
9.026336427,RDEATH2019
8.185689746,RDEATH2019
7.739998819,RDEATH2019
12.54963939,RDEATH2019
8.666155338,RDEATH2019
8.597668546,RDEATH2019
9.024826493,RDEATH2019
-2.859713024,RNETMIG2019
-1.111172685,RNETMIG2019
5.203720245,RNETMIG2019
2.312083317,RNETMIG2019
2.483743522,RNETMIG2019
-12.03122145,RNETMIG2019
13.68716111,RNETMIG2019
0.923428591,RNETMIG2019
-3.276681177,RNETMIG2019
7.311426361,RNETMIG2019
-2.728391002,RNETMIG2019
7.254377095,RNETMIG2019
0.569887216,RNETMIG2019
10.4202855,RNETMIG2019
6.127537171,RNETMIG2019
-6.207021768,RNETMIG2019
15.56252387,RNETMIG2019
-6.755453026,RNETMIG2019
2.737025418,RNETMIG2019
-0.744960728,RNETMIG2019
-2.833807151,RNETMIG2019
-0.173819044,RNETMIG2019
-4.942802716,RNETMIG2019
5.564108556,RNETMIG2019
-1.432605702,RNETMIG2019
-0.268309472,RNETMIG2019
-1.053931943,RNETMIG2019
1.632242063,RNETMIG2019
-3.125981486,RNETMIG2019
0.781952861,RNETMIG2019
5.960244064,RNETMIG2019
-0.47927188,RNETMIG2019
13.83119795,RNETMIG2019
4.729512571,RNETMIG2019
-3.113649852,RNETMIG2019
-0.281651816,RNETMIG2019
-6.920598425,RNETMIG2019
7.812474919,RNETMIG2019
-0.415750634,RNETMIG2019
-0.287861034,RNETMIG2019
2.103528767,RNETMIG2019
6.932692098,RNETMIG2019
-0.004374503,RNETMIG2019
0.406110931,RNETMIG2019
11.48416818,RNETMIG2019
1.567464785,RNETMIG2019
6.661664512,RNETMIG2019
6.618845958,RNETMIG2019
6.656804269,RNETMIG2019
-0.479033474,RNETMIG2019
0.673013514,RNETMIG2019
8.135275527,RNETMIG2019
-4.127417183,RNETMIG2019
0.327261596,RNETMIG2019
-0.819813899,RNETMIG2019
2.421462936,RNETMIG2019
